,date,open,close,high,low,volume,code
183,2019-10-08,3.732,3.762,3.782,3.722,162965.0,600025
184,2019-10-09,3.752,3.892,3.902,3.712,368134.0,600025
185,2019-10-10,3.882,4.002,4.032,3.882,431847.0,600025
186,2019-10-11,3.982,3.992,4.032,3.962,250131.0,600025
187,2019-10-14,3.992,3.932,4.022,3.912,424318.0,600025
188,2019-10-15,3.932,3.922,3.952,3.902,211521.0,600025
189,2019-10-16,3.922,3.942,3.952,3.892,207973.0,600025
190,2019-10-17,3.922,3.902,3.942,3.882,173188.0,600025
191,2019-10-18,3.912,3.772,3.922,3.742,380121.0,600025
192,2019-10-21,3.772,3.762,3.812,3.732,229634.0,600025
193,2019-10-22,3.792,3.902,3.912,3.782,291133.0,600025
194,2019-10-23,3.902,3.842,3.942,3.802,280283.0,600025
195,2019-10-24,3.832,3.832,3.862,3.802,187745.0,600025
196,2019-10-25,3.822,3.892,3.912,3.812,187341.0,600025
197,2019-10-28,3.882,3.912,3.922,3.872,182387.0,600025
198,2019-10-29,4.022,3.972,4.072,3.942,472696.0,600025
199,2019-10-30,3.972,4.032,4.032,3.952,354536.0,600025
200,2019-10-31,4.062,3.952,4.062,3.952,311708.0,600025
201,2019-11-01,3.942,4.042,4.122,3.902,536369.0,600025
202,2019-11-04,4.052,4.032,4.062,4.002,372558.0,600025
203,2019-11-05,4.042,4.002,4.042,3.952,367133.0,600025
204,2019-11-06,4.002,3.982,4.012,3.962,230588.0,600025
205,2019-11-07,3.972,3.942,4.002,3.932,246656.0,600025
206,2019-11-08,3.942,3.962,3.982,3.942,207838.0,600025
207,2019-11-11,3.952,3.832,3.972,3.832,312585.0,600025
208,2019-11-12,3.842,3.862,3.882,3.812,157047.0,600025
209,2019-11-13,3.862,3.862,3.882,3.822,200243.0,600025
210,2019-11-14,3.852,3.832,3.872,3.812,194695.0,600025
211,2019-11-15,3.832,3.782,3.852,3.772,172581.0,600025
212,2019-11-18,3.772,3.762,3.782,3.742,194773.0,600025
213,2019-11-19,3.762,3.772,3.792,3.732,256458.0,600025
214,2019-11-20,3.762,3.732,3.762,3.712,181972.0,600025
215,2019-11-21,3.702,3.692,3.702,3.642,266547.0,600025
216,2019-11-22,3.692,3.682,3.732,3.662,184814.0,600025
217,2019-11-25,3.682,3.732,3.732,3.662,205720.0,600025
218,2019-11-26,3.732,3.742,3.772,3.722,199311.0,600025
219,2019-11-27,3.742,3.742,3.762,3.722,132369.0,600025
220,2019-11-28,3.742,3.702,3.742,3.672,131723.0,600025
221,2019-11-29,3.692,3.672,3.702,3.642,151895.0,600025
222,2019-12-02,3.672,3.762,3.772,3.662,304887.0,600025
223,2019-12-03,3.772,3.842,3.842,3.742,311826.0,600025
224,2019-12-04,3.822,3.842,3.892,3.822,243242.0,600025
225,2019-12-05,3.842,3.852,3.892,3.832,194081.0,600025
226,2019-12-06,3.862,3.832,3.882,3.802,190766.0,600025
227,2019-12-09,3.842,3.822,3.852,3.782,231829.0,600025
228,2019-12-10,3.802,3.812,3.842,3.792,204949.0,600025
229,2019-12-11,3.832,3.792,3.832,3.752,256018.0,600025
230,2019-12-12,3.792,3.762,3.812,3.752,214702.0,600025
231,2019-12-13,3.782,3.782,3.802,3.752,510960.0,600025
232,2019-12-16,3.782,3.872,3.882,3.772,424179.0,600025
233,2019-12-17,3.862,3.872,3.892,3.832,339970.0,600025
234,2019-12-18,3.882,3.822,3.882,3.802,308196.0,600025
235,2019-12-19,3.802,3.822,3.832,3.792,279785.0,600025
236,2019-12-20,3.822,3.752,3.822,3.742,396780.0,600025
237,2019-12-23,3.752,3.702,3.762,3.702,287183.0,600025
238,2019-12-24,3.712,3.702,3.722,3.682,271746.0,600025
239,2019-12-25,3.692,3.692,3.712,3.672,185550.0,600025
240,2019-12-26,3.692,3.722,3.722,3.682,219204.0,600025
241,2019-12-27,3.722,3.722,3.742,3.712,295364.0,600025
242,2019-12-30,3.722,3.732,3.732,3.652,299156.0,600025
243,2019-12-31,3.732,3.712,3.762,3.702,326356.0,600025
244,2020-01-02,3.732,3.752,3.752,3.722,515740.0,600025
245,2020-01-03,3.742,3.732,3.762,3.712,339105.0,600025
246,2020-01-06,3.722,3.692,3.732,3.682,515037.0,600025
247,2020-01-07,3.702,3.732,3.752,3.692,390184.0,600025
248,2020-01-08,3.722,3.672,3.732,3.662,436650.0,600025
249,2020-01-09,3.692,3.682,3.702,3.662,373979.0,600025
250,2020-01-10,3.672,3.672,3.682,3.652,253583.0,600025
251,2020-01-13,3.652,3.672,3.682,3.642,300931.0,600025
252,2020-01-14,3.682,3.672,3.682,3.662,271412.0,600025
253,2020-01-15,3.662,3.652,3.672,3.642,206830.0,600025
