,date,open,close,high,low,volume,code
183,2019-10-08,4.74,4.73,4.77,4.72,240310.0,600019
184,2019-10-09,4.69,4.72,4.73,4.68,212098.0,600019
185,2019-10-10,4.72,4.75,4.75,4.7,159120.0,600019
186,2019-10-11,4.77,4.79,4.81,4.71,223122.0,600019
187,2019-10-14,4.8,4.83,4.86,4.8,315119.0,600019
188,2019-10-15,4.84,4.8,4.84,4.8,152167.0,600019
189,2019-10-16,4.81,4.78,4.84,4.77,178060.0,600019
190,2019-10-17,4.77,4.76,4.81,4.74,138077.0,600019
191,2019-10-18,4.78,4.71,4.78,4.68,250742.0,600019
192,2019-10-21,4.69,4.65,4.7,4.64,210741.0,600019
193,2019-10-22,4.7,4.65,4.7,4.61,323447.0,600019
194,2019-10-23,4.65,4.6,4.66,4.58,284276.0,600019
195,2019-10-24,4.6,4.64,4.66,4.59,239942.0,600019
196,2019-10-25,4.67,4.65,4.67,4.6,261465.0,600019
197,2019-10-28,4.65,4.75,4.75,4.65,370150.0,600019
198,2019-10-29,4.73,4.72,4.73,4.7,206001.0,600019
199,2019-10-30,4.71,4.68,4.72,4.64,179823.0,600019
200,2019-10-31,4.65,4.63,4.68,4.6,206374.0,600019
201,2019-11-01,4.63,4.63,4.64,4.57,452659.0,600019
202,2019-11-04,4.63,4.55,4.63,4.52,697710.0,600019
203,2019-11-05,4.53,4.53,4.56,4.49,576207.0,600019
204,2019-11-06,4.54,4.53,4.56,4.51,421663.0,600019
205,2019-11-07,4.53,4.5,4.54,4.49,446452.0,600019
206,2019-11-08,4.51,4.44,4.52,4.44,487612.0,600019
207,2019-11-11,4.43,4.31,4.44,4.29,519198.0,600019
208,2019-11-12,4.32,4.26,4.33,4.24,443793.0,600019
209,2019-11-13,4.25,4.18,4.26,4.15,555267.0,600019
210,2019-11-14,4.17,4.17,4.21,4.14,507822.0,600019
211,2019-11-15,4.17,4.11,4.18,4.09,562052.0,600019
212,2019-11-18,4.11,4.1,4.16,4.05,1146191.0,600019
213,2019-11-19,4.08,4.2,4.2,4.06,1112420.0,600019
214,2019-11-20,4.19,4.21,4.25,4.14,1115771.0,600019
215,2019-11-21,4.17,4.21,4.23,4.12,882637.0,600019
216,2019-11-22,4.23,4.33,4.35,4.21,1589535.0,600019
217,2019-11-25,4.43,4.59,4.64,4.39,2107810.0,600019
218,2019-11-26,4.58,4.49,4.58,4.43,1193579.0,600019
219,2019-11-27,4.46,4.43,4.5,4.36,852372.0,600019
220,2019-11-28,4.4,4.33,4.42,4.31,584378.0,600019
221,2019-11-29,4.33,4.3,4.37,4.28,586371.0,600019
222,2019-12-02,4.3,4.29,4.33,4.26,634064.0,600019
223,2019-12-03,4.27,4.22,4.28,4.19,734466.0,600019
224,2019-12-04,4.19,4.26,4.27,4.18,615264.0,600019
225,2019-12-05,4.26,4.23,4.26,4.18,692337.0,600019
226,2019-12-06,4.2,4.24,4.24,4.2,384614.0,600019
227,2019-12-09,4.26,4.46,4.48,4.25,1673757.0,600019
228,2019-12-10,4.51,4.44,4.51,4.43,733543.0,600019
229,2019-12-11,4.47,4.49,4.55,4.46,843887.0,600019
230,2019-12-12,4.49,4.39,4.5,4.37,867766.0,600019
231,2019-12-13,4.43,4.52,4.52,4.39,1427982.0,600019
232,2019-12-16,4.5,4.56,4.56,4.49,1077505.0,600019
233,2019-12-17,4.54,4.63,4.69,4.51,1338584.0,600019
234,2019-12-18,4.63,4.59,4.68,4.56,971983.0,600019
235,2019-12-19,4.56,4.56,4.58,4.51,747103.0,600019
236,2019-12-20,4.55,4.45,4.56,4.44,1103271.0,600019
237,2019-12-23,4.46,4.41,4.51,4.38,709842.0,600019
238,2019-12-24,4.42,4.47,4.47,4.38,496584.0,600019
239,2019-12-25,4.45,4.41,4.45,4.39,477064.0,600019
240,2019-12-26,4.42,4.46,4.47,4.4,543532.0,600019
241,2019-12-27,4.46,4.51,4.56,4.44,1082320.0,600019
242,2019-12-30,4.5,4.58,4.59,4.47,1233965.0,600019
243,2019-12-31,4.56,4.57,4.59,4.5,991989.0,600019
244,2020-01-02,4.6,4.63,4.71,4.6,1608745.0,600019
245,2020-01-03,4.65,4.63,4.67,4.6,810379.0,600019
246,2020-01-06,4.6,4.58,4.63,4.55,1051389.0,600019
247,2020-01-07,4.58,4.66,4.66,4.57,978161.0,600019
248,2020-01-08,4.63,4.57,4.63,4.56,884021.0,600019
249,2020-01-09,4.61,4.63,4.63,4.58,593861.0,600019
250,2020-01-10,4.64,4.57,4.64,4.54,686215.0,600019
251,2020-01-13,4.58,4.56,4.58,4.5,661753.0,600019
252,2020-01-14,4.56,4.55,4.61,4.54,722092.0,600019
253,2020-01-15,4.56,4.51,4.58,4.48,672452.0,600019
254,2020-01-16,4.51,4.47,4.52,4.45,571811.0,600019
255,2020-01-17,4.47,4.55,4.55,4.46,709131.0,600019
256,2020-01-20,4.56,4.57,4.58,4.51,655365.0,600019
257,2020-01-21,4.55,4.43,4.55,4.41,752290.0,600019
258,2020-01-22,4.4,4.43,4.44,4.36,497234.0,600019
259,2020-01-23,4.38,4.26,4.38,4.23,729195.0,600019
