,date,open,close,high,low,volume,code
183,2019-10-08,4.13,4.14,4.16,4.13,436712.0,600028
184,2019-10-09,4.12,4.15,4.16,4.1,414364.0,600028
185,2019-10-10,4.15,4.14,4.15,4.12,378110.0,600028
186,2019-10-11,4.16,4.22,4.23,4.14,747554.0,600028
187,2019-10-14,4.21,4.22,4.25,4.19,665099.0,600028
188,2019-10-15,4.22,4.18,4.22,4.18,360332.0,600028
189,2019-10-16,4.19,4.19,4.21,4.17,427217.0,600028
190,2019-10-17,4.19,4.18,4.2,4.17,254666.0,600028
191,2019-10-18,4.19,4.13,4.19,4.13,426570.0,600028
192,2019-10-21,4.13,4.12,4.14,4.11,508755.0,600028
193,2019-10-22,4.13,4.12,4.13,4.09,504529.0,600028
194,2019-10-23,4.12,4.11,4.13,4.1,360966.0,600028
195,2019-10-24,4.13,4.13,4.14,4.11,410600.0,600028
196,2019-10-25,4.14,4.14,4.14,4.11,486545.0,600028
197,2019-10-28,4.13,4.15,4.16,4.12,570325.0,600028
198,2019-10-29,4.14,4.13,4.16,4.13,402981.0,600028
199,2019-10-30,4.13,4.1,4.14,4.1,377170.0,600028
200,2019-10-31,4.09,4.04,4.09,4.03,756818.0,600028
201,2019-11-01,4.02,4.03,4.04,4.0,833103.0,600028
202,2019-11-04,4.05,4.04,4.06,4.03,633059.0,600028
203,2019-11-05,4.06,4.07,4.09,4.03,532816.0,600028
204,2019-11-06,4.08,4.07,4.08,4.06,427464.0,600028
205,2019-11-07,4.06,4.08,4.08,4.05,404154.0,600028
206,2019-11-08,4.09,4.07,4.1,4.04,583592.0,600028
207,2019-11-11,4.06,4.0,4.06,4.0,655264.0,600028
208,2019-11-12,4.01,4.01,4.03,3.99,468918.0,600028
209,2019-11-13,4.02,4.01,4.02,3.99,507339.0,600028
210,2019-11-14,4.01,3.99,4.01,3.99,463951.0,600028
211,2019-11-15,4.0,3.99,4.02,3.98,570040.0,600028
212,2019-11-18,4.0,4.05,4.05,3.99,599476.0,600028
213,2019-11-19,4.03,4.04,4.06,4.02,482484.0,600028
214,2019-11-20,4.03,4.06,4.08,4.02,516623.0,600028
215,2019-11-21,4.06,4.08,4.1,4.04,557894.0,600028
216,2019-11-22,4.09,4.08,4.11,4.07,670220.0,600028
217,2019-11-25,4.07,4.16,4.17,4.06,925608.0,600028
218,2019-11-26,4.17,4.17,4.18,4.13,706451.0,600028
219,2019-11-27,4.16,4.16,4.18,4.13,460928.0,600028
220,2019-11-28,4.16,4.15,4.17,4.13,296906.0,600028
221,2019-11-29,4.14,4.13,4.15,4.1,458051.0,600028
222,2019-12-02,4.1,4.09,4.11,4.07,493391.0,600028
223,2019-12-03,4.09,4.07,4.1,4.05,409498.0,600028
224,2019-12-04,4.07,4.05,4.07,4.04,309347.0,600028
225,2019-12-05,4.08,4.07,4.08,4.05,383212.0,600028
