,date,open,close,high,low,volume,code
183,2019-10-08,12.78,13.09,13.22,12.78,549269.0,600031
184,2019-10-09,13.03,12.93,13.04,12.79,432112.0,600031
185,2019-10-10,12.94,12.96,13.02,12.74,365681.0,600031
186,2019-10-11,12.96,13.29,13.4,12.88,809237.0,600031
187,2019-10-14,13.39,13.31,13.47,13.16,717911.0,600031
188,2019-10-15,13.3,13.55,13.64,13.15,730382.0,600031
189,2019-10-16,13.64,13.41,13.69,13.31,639781.0,600031
190,2019-10-17,13.37,13.33,13.5,13.19,424010.0,600031
191,2019-10-18,13.31,12.95,13.38,12.87,551136.0,600031
192,2019-10-21,12.93,13.0,13.08,12.8,360558.0,600031
193,2019-10-22,13.02,13.04,13.06,12.9,252952.0,600031
194,2019-10-23,13.08,12.81,13.08,12.75,366711.0,600031
195,2019-10-24,12.81,12.55,12.83,12.46,680804.0,600031
196,2019-10-25,12.6,12.61,12.62,12.33,560531.0,600031
197,2019-10-28,12.6,12.48,12.72,12.41,656720.0,600031
198,2019-10-29,12.48,12.4,12.59,12.37,393969.0,600031
199,2019-10-30,12.24,12.45,12.5,11.75,961688.0,600031
200,2019-10-31,12.5,12.01,12.54,11.92,806024.0,600031
201,2019-11-01,12.01,12.44,12.55,11.94,874202.0,600031
202,2019-11-04,12.5,12.63,12.68,12.39,794533.0,600031
203,2019-11-05,12.62,12.67,12.84,12.59,777778.0,600031
204,2019-11-06,12.74,12.41,12.76,12.35,585312.0,600031
205,2019-11-07,12.57,12.64,12.68,12.47,515428.0,600031
206,2019-11-08,12.74,12.63,12.9,12.61,618538.0,600031
207,2019-11-11,12.6,12.44,12.69,12.33,554963.0,600031
208,2019-11-12,12.34,12.47,12.76,12.34,704902.0,600031
209,2019-11-13,12.46,12.5,12.55,12.29,418085.0,600031
210,2019-11-14,12.58,12.61,12.64,12.48,474772.0,600031
211,2019-11-15,12.67,12.43,12.69,12.38,407271.0,600031
212,2019-11-18,12.5,12.73,12.75,12.44,588220.0,600031
213,2019-11-19,12.64,13.19,13.32,12.64,1076687.0,600031
214,2019-11-20,13.17,13.12,13.3,13.07,517426.0,600031
215,2019-11-21,13.04,13.14,13.16,12.88,423691.0,600031
216,2019-11-22,13.17,13.01,13.32,12.95,492162.0,600031
217,2019-11-25,13.0,13.45,13.53,12.99,890677.0,600031
218,2019-11-26,13.48,13.48,13.53,13.28,658346.0,600031
219,2019-11-27,13.43,13.43,13.61,13.3,520106.0,600031
220,2019-11-28,13.45,13.38,13.5,13.27,298845.0,600031
221,2019-11-29,13.35,13.02,13.38,12.9,597432.0,600031
222,2019-12-02,13.08,13.46,13.53,13.08,707699.0,600031
223,2019-12-03,13.4,13.58,13.58,13.25,597177.0,600031
224,2019-12-04,13.47,13.35,13.59,13.31,454410.0,600031
225,2019-12-05,13.38,13.83,13.87,13.32,973782.0,600031
226,2019-12-06,13.89,14.11,14.16,13.87,821077.0,600031
227,2019-12-09,14.27,14.09,14.33,14.02,538205.0,600031
228,2019-12-10,14.13,14.62,14.62,14.05,779400.0,600031
229,2019-12-11,14.72,14.61,14.89,14.46,718694.0,600031
230,2019-12-12,14.27,14.15,14.46,13.94,1090337.0,600031
231,2019-12-13,14.24,14.27,14.64,14.04,1010931.0,600031
232,2019-12-16,14.29,14.12,14.33,13.87,861210.0,600031
233,2019-12-17,14.14,14.19,14.29,13.9,860475.0,600031
234,2019-12-18,14.19,14.39,14.62,14.07,909979.0,600031
235,2019-12-19,14.31,14.19,14.37,14.04,533387.0,600031
236,2019-12-20,14.15,14.03,14.22,13.97,442418.0,600031
237,2019-12-23,14.15,14.23,14.62,14.15,1021454.0,600031
238,2019-12-24,14.24,14.47,14.58,14.24,540018.0,600031
239,2019-12-25,14.6,15.09,15.1,14.48,904901.0,600031
240,2019-12-26,15.11,15.12,15.37,14.87,859276.0,600031
241,2019-12-27,15.08,15.19,15.32,14.97,680892.0,600031
242,2019-12-30,15.29,15.32,15.41,14.94,716469.0,600031
243,2019-12-31,15.37,15.59,15.89,15.34,864382.0,600031
244,2020-01-02,15.83,16.49,16.49,15.83,1252622.0,600031
245,2020-01-03,16.42,16.29,16.46,16.21,574810.0,600031
246,2020-01-06,16.24,15.71,16.4,15.38,1190170.0,600031
247,2020-01-07,15.74,15.73,15.95,15.52,912931.0,600031
248,2020-01-08,15.64,15.43,15.73,15.4,705015.0,600031
249,2020-01-09,15.72,15.62,15.78,15.29,728314.0,600031
250,2020-01-10,15.65,15.82,15.92,15.44,655436.0,600031
251,2020-01-13,15.82,15.59,15.82,15.34,855088.0,600031
252,2020-01-14,15.54,15.51,15.78,15.47,618436.0,600031
253,2020-01-15,15.5,15.47,15.6,15.3,482490.0,600031
254,2020-01-16,15.42,15.52,15.64,15.39,444744.0,600031
255,2020-01-17,15.52,15.42,15.6,15.32,549844.0,600031
256,2020-01-20,15.64,15.79,15.86,15.44,751434.0,600031
257,2020-01-21,15.82,15.06,15.91,14.43,1463486.0,600031
258,2020-01-22,14.84,15.44,15.5,14.62,891454.0,600031
259,2020-01-23,15.26,14.57,15.39,14.37,1009767.0,600031
260,2020-02-03,12.97,12.97,13.41,12.97,1624903.0,600031
261,2020-02-04,12.93,13.94,14.0,12.93,1492089.0,600031
262,2020-02-05,14.31,14.13,14.62,14.04,1094286.0,600031
263,2020-02-06,14.44,14.54,14.58,14.02,865673.0,600031
264,2020-02-07,14.42,14.33,14.56,14.06,883301.0,600031
265,2020-02-10,14.2,14.99,15.04,13.97,1360783.0,600031
266,2020-02-11,14.87,15.09,15.39,14.81,902552.0,600031
267,2020-02-12,15.09,15.13,15.24,14.95,756440.0,600031
268,2020-02-13,15.17,15.33,15.37,15.06,772920.0,600031
269,2020-02-14,15.24,15.34,15.44,15.11,564026.0,600031
270,2020-02-17,15.29,15.72,15.73,15.24,719905.0,600031
271,2020-02-18,15.74,15.52,15.75,15.31,669849.0,600031
272,2020-02-19,15.46,15.28,15.49,15.27,511876.0,600031
273,2020-02-20,15.27,15.54,15.54,15.06,830469.0,600031
274,2020-02-21,15.49,15.76,15.87,15.37,856679.0,600031
275,2020-02-24,15.84,15.82,16.09,15.65,802053.0,600031
276,2020-02-25,15.44,15.37,15.61,14.98,952158.0,600031
277,2020-02-26,15.14,15.44,15.87,14.87,1027939.0,600031
278,2020-02-27,15.6,16.24,16.36,15.55,1419386.0,600031
279,2020-02-28,15.91,15.97,16.63,15.63,1416578.0,600031
280,2020-03-02,16.06,17.48,17.64,16.06,1987410.0,600031
281,2020-03-03,17.84,17.02,17.96,16.59,1882703.0,600031
282,2020-03-04,16.85,17.36,17.44,16.71,1103691.0,600031
283,2020-03-05,17.41,17.39,17.82,17.12,1016021.0,600031
284,2020-03-06,17.09,16.79,17.14,16.64,847608.0,600031
285,2020-03-09,16.44,16.08,16.78,16.06,842668.0,600031
286,2020-03-10,15.79,16.43,16.64,15.78,734368.0,600031
287,2020-03-11,16.54,15.95,16.58,15.91,621752.0,600031
288,2020-03-12,15.64,15.54,15.93,15.36,687928.0,600031
289,2020-03-13,14.72,15.3,15.84,14.58,1118069.0,600031
290,2020-03-16,15.54,14.1,15.57,13.93,1365812.0,600031
