,date,open,close,high,low,volume,code
0,2021-05-25,4.21,5.05,5.05,4.21,13390.0,600032
1,2021-05-26,5.56,5.56,5.56,5.56,2848.0,600032
2,2021-05-27,6.12,6.12,6.12,6.12,2137.0,600032
3,2021-05-28,6.73,6.73,6.73,6.73,8226.0,600032
4,2021-05-31,7.4,7.4,7.4,7.4,13664.0,600032
5,2021-06-01,8.14,8.14,8.14,8.14,7904.0,600032
6,2021-06-02,8.95,8.95,8.95,8.95,11162.0,600032
7,2021-06-03,9.85,9.85,9.85,9.85,6838.0,600032
8,2021-06-04,10.84,10.84,10.84,10.84,22094.0,600032
9,2021-06-07,11.92,11.92,11.92,11.92,30365.0,600032
10,2021-06-08,13.11,13.11,13.11,12.71,1035326.0,600032
11,2021-06-09,13.11,13.45,14.38,12.26,1547244.0,600032
12,2021-06-10,12.84,13.6,14.35,12.68,1134250.0,600032
13,2021-06-11,14.5,14.03,14.8,13.25,1208082.0,600032
14,2021-06-15,13.5,12.63,13.51,12.63,854770.0,600032
15,2021-06-16,12.2,11.56,12.2,11.37,697183.0,600032
16,2021-06-17,11.62,12.3,12.57,11.19,711746.0,600032
17,2021-06-18,12.06,13.08,13.08,11.68,781981.0,600032
18,2021-06-21,13.0,12.88,13.55,12.73,775516.0,600032
19,2021-06-22,12.98,14.17,14.17,12.98,1085505.0,600032
20,2021-06-23,14.0,15.59,15.59,13.8,1219025.0,600032
21,2021-06-24,16.11,14.04,16.66,14.03,971668.0,600032
22,2021-06-25,13.63,12.94,13.89,12.81,730706.0,600032
23,2021-06-28,12.8,12.95,13.11,12.56,441400.0,600032
24,2021-06-29,12.93,13.06,13.32,12.55,438383.0,600032
25,2021-06-30,12.88,12.16,12.89,11.82,479089.0,600032
26,2021-07-01,12.02,11.5,12.37,11.5,358557.0,600032
27,2021-07-02,11.51,10.8,11.59,10.77,345114.0,600032
28,2021-07-05,10.8,10.63,10.84,10.36,298451.0,600032
29,2021-07-06,10.62,11.69,11.69,10.5,533513.0,600032
30,2021-07-07,11.4,11.32,11.69,11.01,433571.0,600032
31,2021-07-08,11.5,11.69,12.0,11.45,446967.0,600032
32,2021-07-09,11.41,11.58,11.9,11.27,352106.0,600032
33,2021-07-12,11.43,11.22,11.44,11.16,292041.0,600032
34,2021-07-13,11.19,11.83,12.22,10.94,494404.0,600032
35,2021-07-14,11.81,11.5,12.07,11.46,355797.0,600032
36,2021-07-15,11.16,11.12,11.2,10.78,271126.0,600032
37,2021-07-16,11.15,10.92,11.34,10.9,210619.0,600032
38,2021-07-19,10.6,10.48,10.8,10.46,195448.0,600032
39,2021-07-20,10.3,10.46,10.52,10.09,145409.0,600032
40,2021-07-21,10.41,10.4,10.54,10.27,144543.0,600032
41,2021-07-22,10.38,10.4,10.6,10.36,147546.0,600032
42,2021-07-23,10.37,10.02,10.37,10.0,204775.0,600032
43,2021-07-26,9.99,9.63,9.99,9.28,187440.0,600032
44,2021-07-27,9.55,9.74,10.0,9.35,224018.0,600032
45,2021-07-28,9.56,9.04,9.65,9.0,177103.0,600032
46,2021-07-29,9.1,9.11,9.31,9.06,133570.0,600032
47,2021-07-30,9.16,10.02,10.02,9.09,332310.0,600032
