,date,open,close,high,low,volume,code
183,2019-10-08,5.204,5.284,5.334,5.204,823335.0,600016
184,2019-10-09,5.254,5.344,5.364,5.254,1047605.0,600016
185,2019-10-10,5.334,5.314,5.364,5.294,722442.0,600016
186,2019-10-11,5.334,5.374,5.384,5.304,1084244.0,600016
187,2019-10-14,5.394,5.474,5.574,5.384,1632310.0,600016
188,2019-10-15,5.474,5.464,5.504,5.424,794336.0,600016
189,2019-10-16,5.484,5.434,5.544,5.404,875230.0,600016
190,2019-10-17,5.414,5.424,5.464,5.404,413613.0,600016
191,2019-10-18,5.444,5.294,5.484,5.294,793396.0,600016
192,2019-10-21,5.294,5.354,5.374,5.284,483543.0,600016
193,2019-10-22,5.384,5.364,5.394,5.344,448968.0,600016
194,2019-10-23,5.384,5.344,5.404,5.344,456826.0,600016
195,2019-10-24,5.374,5.394,5.444,5.354,668089.0,600016
196,2019-10-25,5.394,5.394,5.404,5.344,459641.0,600016
197,2019-10-28,5.394,5.384,5.454,5.364,580152.0,600016
198,2019-10-29,5.394,5.364,5.394,5.354,374070.0,600016
199,2019-10-30,5.364,5.364,5.394,5.314,473366.0,600016
200,2019-10-31,5.374,5.354,5.384,5.314,460185.0,600016
201,2019-11-01,5.334,5.384,5.414,5.304,708973.0,600016
202,2019-11-04,5.394,5.394,5.434,5.374,703990.0,600016
203,2019-11-05,5.404,5.464,5.524,5.394,1211302.0,600016
204,2019-11-06,5.464,5.464,5.514,5.444,693916.0,600016
205,2019-11-07,5.474,5.464,5.504,5.444,426281.0,600016
206,2019-11-08,5.474,5.404,5.494,5.394,585500.0,600016
207,2019-11-11,5.394,5.334,5.394,5.324,607027.0,600016
208,2019-11-12,5.354,5.354,5.374,5.324,442757.0,600016
209,2019-11-13,5.334,5.324,5.354,5.304,456240.0,600016
210,2019-11-14,5.344,5.304,5.344,5.284,468855.0,600016
211,2019-11-15,5.324,5.304,5.334,5.294,326313.0,600016
212,2019-11-18,5.314,5.344,5.344,5.284,430121.0,600016
213,2019-11-19,5.324,5.334,5.354,5.314,349247.0,600016
214,2019-11-20,5.334,5.284,5.344,5.284,408477.0,600016
215,2019-11-21,5.274,5.284,5.304,5.264,434364.0,600016
216,2019-11-22,5.304,5.284,5.324,5.274,474084.0,600016
217,2019-11-25,5.304,5.384,5.384,5.284,651603.0,600016
218,2019-11-26,5.394,5.394,5.404,5.344,966448.0,600016
219,2019-11-27,5.384,5.354,5.394,5.354,357611.0,600016
220,2019-11-28,5.344,5.364,5.374,5.334,361885.0,600016
221,2019-11-29,5.344,5.374,5.394,5.334,588981.0,600016
222,2019-12-02,5.364,5.374,5.394,5.354,381284.0,600016
223,2019-12-03,5.364,5.384,5.384,5.344,324454.0,600016
224,2019-12-04,5.384,5.364,5.384,5.334,357630.0,600016
225,2019-12-05,5.384,5.384,5.404,5.354,407302.0,600016
226,2019-12-06,5.394,5.394,5.404,5.374,331970.0,600016
227,2019-12-09,5.394,5.414,5.414,5.374,366733.0,600016
228,2019-12-10,5.404,5.394,5.414,5.394,253180.0,600016
229,2019-12-11,5.414,5.404,5.414,5.374,380396.0,600016
230,2019-12-12,5.414,5.394,5.414,5.384,311840.0,600016
231,2019-12-13,5.414,5.474,5.484,5.414,1095455.0,600016
232,2019-12-16,5.474,5.454,5.474,5.434,693975.0,600016
233,2019-12-17,5.464,5.524,5.574,5.444,1244920.0,600016
234,2019-12-18,5.514,5.494,5.554,5.484,997438.0,600016
235,2019-12-19,5.484,5.504,5.534,5.484,694915.0,600016
